都道府県,議員定数,人口,議員あたり人口,議員あたり１票の格差,有権者数,議員あたり有権者数,議員あたり１票の格差,議員あたり面積,面積あたり１票の格差
北海道,１２,5441628,453469,1.568,4588284,382357,1.583,6535.08,74.647
青森県,4,1346749,336687,1.164,1147568,286892,1.188,2411.18,27.542
岩手県,4,1299138,324785,1.123,1091013,272753,1.130,3819.72,43.631
宮城県,6,2315404,385901,1.334,1899866,316644,1.311,1214.30,13.870
秋田県,3,1060032,353344,1.222,913725,304575,1.261,3878.77,44.305
山形県,3,1146398,382133,1.321,957762,319254,1.322,3107.82,35.499
福島県,5,1955015,391003,1.352,1627518,325504,1.348,2756.55,31.487
茨城県,7,2907247,415321,1.436,2427864,346838,1.436,870.82,9.947
栃木県,5,1967822,393564,1.361,1631310,326262,1.351,1281.66,14.640
群馬県,5,1958948,391790,1.355,1627861,325572,1.348,1272.47,14.535
埼玉県,15,7125769,475051,1.642,5879310,391954,1.623,253.21,2.892
千葉県,13,6119200,470708,1.627,5075552,390427,1.617,396.66,4.531
東京都,25,12915802,516632,1.786,10767627,430705,1.784,87.55,1.000
神奈川県,18,8946554,497031,1.718,7367375,409299,1.695,134.21,1.533
新潟県,6,2335750,389292,1.346,1955209,325868,1.349,2097.31,23.956
富山県,3,1071999,357333,1.235,899641,299880,1.242,1415.87,16.173
石川県,3,1153888,384629,1.330,944653,314884,1.304,1395.39,15.939
福井県,2,788917,394459,1.364,651991,325996,1.350,2094.94,23.929
山梨県,2,841314,420657,1.454,700541,350271,1.451,2232.69,25.503
長野県,5,2106358,421272,1.456,1755708,351142,1.454,2712.45,30.983
岐阜県,5,2028779,405756,1.403,1684766,336953,1.395,2124.23,24.264
静岡県,8,3682936,460367,1.592,3077937,384742,1.593,972.58,11.109
愛知県,15,7276747,485116,1.677,5879772,391985,1.623,344.34,3.933
三重県,5,1810564,362113,1.252,1503355,300671,1.245,1155.46,13.198
滋賀県,4,1395981,348995,1.207,1117662,279416,1.157,1004.34,11.472
京都府,6,2583892,430649,1.489,2098117,349686,1.448,768.87,8.782
大阪府,19,8696548,457713,1.582,7130227,375275,1.554,100.07,1.143
兵庫県,12,5496207,458017,1.584,4555316,379610,1.572,699.70,7.992
奈良県,4,1380850,345213,1.194,1151141,287785,1.192,922.77,10.540
和歌山県,3,983259,327753,1.133,841641,280547,1.162,1575.43,17.995
鳥取県,2,578478,289239,1.000,482961,241481,1.000,1753.66,20.031
島根県,2,702372,351186,1.214,588074,294037,1.218,3353.99,38.311
岡山県,5,1918984,383797,1.327,1576144,315229,1.305,1422.65,16.250
広島県,7,2817274,402468,1.391,2326284,332326,1.376,1211.39,13.837
山口県,4,1419531,354883,1.227,1198510,299628,1.241,1528.53,17.460
徳島県,2,771822,385911,1.334,653599,326800,1.353,2073.40,23.683
香川県,3,982471,327490,1.132,827367,275789,1.142,625.52,7.145
愛媛県,4,1407634,351909,1.217,1189326,297332,1.231,1419.63,16.216
高知県,2,748637,374319,1.294,633739,316870,1.312,3552.60,40.579
福岡県,11,5044451,458586,1.585,4126443,375131,1.553,452.66,5.171
佐賀県,2,839944,419972,1.452,687474,343737,1.423,1219.83,13.933
長崎県,4,1401981,350495,1.212,1170014,292504,1.211,1026.44,11.724
熊本県,5,1799405,359881,1.244,1487340,297468,1.232,1480.97,16.916
大分県,3,1177525,392508,1.357,986720,328907,1.362,2113.25,24.139
宮崎県,3,1122224,374075,1.293,930751,310250,1.285,2578.66,29.455
鹿児島県,5,1683755,336751,1.164,1393674,278735,1.154,1837.80,20.992
沖縄県,4,1400956,350239,1.211,1097023,274256,1.136,569.16,6.501
全国,295,125957139,4269731.476,104305755,353579,1.464,1264.15,14.440
